,omen_date,omen_close,omen_volume,omen_volume_sma,omen_atr,max_drawdown_pct_next_5_days,max_rise_pct_next_5_days,final_change_pct_next_5_days
0,2020-05-06,9149.5,23645.378,17705.084749999998,442.5164078076475,-10.89130553582163,9.94589868298814,-6.453904584949997
1,2020-06-15,9418.0,12955.916,9504.7842,393.3768222864244,-2.564238691866638,1.7678912720322786,-0.711403695052028
2,2020-07-23,9595.0,9063.328,6460.505649987999,180.45598884380175,-1.2819176654507556,18.73892652423137,13.699843668577383
3,2020-07-29,11106.5,18452.825,10611.1339,437.36470159057666,-5.19515598973574,9.066762706523207,1.075946517804889
4,2020-07-31,11339.0,14215.085,11296.1955,431.2205980835887,-7.139077520063497,6.830408325249141,3.576153099920628
5,2020-08-10,11891.0,21793.672,15688.346,496.8215999493504,-6.28206206374569,0.7610798082583466,-0.22706248423177192
6,2020-09-04,10448.5,11678.746,8329.10145,578.8690593337549,-5.881226970378523,1.1293487103411972,-2.1917021582045266
7,2020-10-12,11545.0,8332.957,4983.719599999999,300.7108299477155,-2.957990472065829,0.5803378085751407,-1.6024252923343438
8,2020-10-20,11902.0,10000.771,5442.74545,295.2144288634083,-0.11342631490505797,12.250042009746261,9.431188035624265
9,2020-10-22,12986.5,13367.243,6585.932299999999,443.7210599018489,-1.8750240634505064,6.087090440072383,5.0090478573903665
10,2020-10-26,13050.0,11941.985,7720.4473,426.269692678651,-1.210727969348659,8.199233716475096,5.609195402298851
11,2020-10-29,13437.5,12593.942,9223.332250000001,548.7376340192582,-2.4074418604651164,5.079069767441861,4.275348837209302
12,2020-10-30,13544.5,15152.912,9494.68275,547.7059494833571,-2.4917863339362842,5.201373251135147,4.322787847465761
13,2020-10-31,13782.0,16992.382,10128.26345,568.8784895522429,-4.172108547380642,14.337541721085472,13.147583804962995
14,2020-11-04,14130.0,17386.484,11593.310399999998,590.7330279526244,-0.20877565463552722,13.064401981599433,8.46072186836518
15,2020-11-11,15687.5,21886.503,16720.2428,788.5050556163321,-1.4916334661354582,7.550597609561753,6.47011952191235
16,2020-11-18,17792.0,50447.013,21695.0459,873.0689374459399,-2.456160071942446,6.685589028776978,3.1896357913669062
17,2020-11-19,17802.5,36719.263,22773.363449999997,868.6597457864813,-0.7611290549080185,8.976267378177221,7.625333520572954
18,2021-01-03,32963.0,46033.177,29395.48245,2026.9596733837486,-15.289870460819706,27.718957619148743,23.294299669326215
19,2021-01-08,40641.5,42481.307,32435.11925,3420.279183551832,-25.133176679010372,2.052089612834172,-7.9327780716755045
20,2021-01-29,34222.0,84262.848,35082.22535,3743.6145580006278,-5.813511776050493,9.990649289930454,9.878148559406231
